,rooms,garages,useful_area,latitude,longitude,value,interior_quality,time_on_market,sold,value-5,value-10,value-15,value-20,yregr_test,regrpreds,dist,classpreds,classpreds_proba,misclassified,classpreds-5,classpreds-10,classpreds-15,classpreds-20,timepreds,timepreds-5,timepreds-10,timepreds-15,timepreds-20,dist20,dist15,dist10,dist5
971,2.0,1.0,48,-23.5212233,-46.7299256,496613,1,100.0,1,471782.35,446951.7,422121.05,397290.4,496613,446413.53,-50199.46875,1,0.53428936,False,1,1,1,1,108.732765,108.732765,106.68957,106.68957,118.00707,9.274307,-2.0431976,-2.0431976,0.0
321,3.0,2.0,115,-23.6107232,-46.6324639,1200390,3,76.0,1,1140370.5,1080351.0,1020331.5,960312.0,1200390,1003621.5,-196768.5,0,0.4751528,True,0,1,1,1,105.70837,105.70837,98.10337,98.10337,98.10337,-7.6049957,-7.6049957,-7.6049957,0.0
6921,3.0,2.0,110,-23.6027874,-46.6289507,972583,1,213.385437366752,0,923953.85,875324.7000000001,826695.5499999999,778066.4,972583,1030007.8,57424.8125,0,0.35199618,False,0,0,0,0,103.59145,101.37493,80.808205,62.497746,62.497746,-41.093708,-41.093708,-22.783249,-2.2165222
7753,2.0,2.0,73,-23.583627,-46.634284,937441,2,37.90123527107044,0,890568.95,843696.9,796824.85,749952.8,937441,733284.44,-204156.5625,0,0.42920393,False,0,0,0,1,185.78348,183.56696,137.99028,137.99028,150.53693,-35.24655,-47.793198,-47.793198,-2.2165222
3370,3.0,3.0,202,-23.6038564,-46.6644889,2430390,3,295.28451598522724,0,2308870.5,2187351.0,2065831.5,1944312.0,2430390,2596905.2,166515.25,0,0.064078376,False,0,0,0,0,161.54834,127.972496,127.972496,127.972496,118.43042,-43.11792,-33.575844,-33.575844,-33.575844
5000,2.0,1.0,86,-23.6132354,-46.65812639999999,743244,2,2.0,1,706081.7999999999,668919.6,631757.4,594595.2000000001,743244,858701.44,115457.4375,1,0.94422,False,1,1,1,1,86.39525,84.54777,85.08913,85.08913,80.41289,-5.982361,-1.3061218,-1.3061218,-1.8474808
1300,3.0,2.0,180,-23.6253085,-46.6440279,1131950,2,69.0,1,1075352.5,1018755.0,962157.5,905560.0,1131950,1507026.6,375076.625,1,0.64033854,False,1,1,1,1,86.2454,69.53539,69.53539,69.53539,58.50446,-27.74094,-16.710007,-16.710007,-16.710007
1243,3.0,2.0,80,-23.5867635,-46.7184418,804920,1,100.08855705077923,0,764674.0,724428.0,684182.0,643936.0,804920,734226.6,-70693.375,0,0.4536183,False,0,1,1,1,106.17249,120.25604,92.38396,66.77976,72.45722,-33.71527,-39.39273,-13.788536,14.0835495
3359,3.0,2.0,98,-23.537683,-46.703218,795413,1,353.09272993501384,0,755642.35,715871.7000000001,676101.0499999999,636330.4,795413,896211.25,100798.25,0,0.025118416,False,0,0,0,0,85.71035,77.06596,77.06596,57.168808,74.770096,-10.940254,-28.541542,-8.644386,-8.644386
7382,1.0,2.0,41,-23.5890543,-46.6477154,630960,3,274.0,1,599412.0,567864.0,536316.0,504768.0,630960,603199.44,-27760.5625,0,0.08826091,True,0,0,0,0,160.10307,168.31944,168.31944,129.55113,104.82752,-55.27555,-30.55194,8.21637,8.21637
5028,3.0,1.0,140,-23.5779909,-46.6356803,971030,2,73.0,1,922478.5,873927.0,825375.5,776824.0,971030,1014463.5,43433.5,1,0.75940406,False,1,1,1,1,78.23215,76.015625,60.017506,66.119,66.119,-12.113144,-12.113144,-18.214642,-2.2165222
4594,1.0,1.0,38,-23.5705885,-46.652962,453570,2,180.0,1,430891.5,408213.0,385534.5,362856.0,453570,504405.75,50835.75,0,0.22879381,True,0,0,0,0,88.28876,88.28876,92.241486,84.98724,84.98724,-3.3015137,-3.3015137,3.9527283,0.0
5047,4.0,2.0,168,-23.5699904,-46.658909,2061970,3,149.18807517894618,0,1958871.5,1855773.0,1752674.5,1649576.0,2061970,2158058.5,96088.5,0,0.30967617,False,0,0,0,0,124.29676,131.8458,131.8458,126.099396,106.891525,-17.405235,1.8026352,7.549034,7.549034
8046,3.0,2.0,112,-23.5943294,-46.6883168,1873000,2,154.92149210917654,0,1779350.0,1685700.0,1592050.0,1498400.0,1873000,1732806.6,-140193.375,0,0.16452914,False,0,0,0,0,157.66238,143.6734,143.6734,142.64462,142.64462,-15.017761,-15.017761,-13.988983,-13.988983
1302,3.0,2.0,116,-23.609758,-46.6607286,1519300,1,30.586274506552787,0,1443335.0,1367370.0,1291405.0,1215440.0,1519300,1311212.0,-208088.0,1,0.5816281,True,1,1,1,1,118.13246,113.74369,113.74369,116.770355,98.18711,-19.94535,-1.3621063,-4.388771,-4.388771
1627,3.0,1.0,100,-23.595832100000006,-46.6751275,949239,2,47.0,1,901777.0499999999,854315.1,806853.15,759391.2000000001,949239,1092832.2,143593.25,1,0.73716015,False,1,1,1,1,107.97408,97.008484,90.65572,84.15274,78.18378,-29.790306,-23.821342,-17.31836,-10.965599
2917,3.0,1.0,103,-23.6280464,-46.6337065,909028,1,76.0,1,863576.6,818125.2000000001,772673.7999999999,727222.4,909028,726898.75,-182129.25,1,0.7438269,False,1,1,1,1,98.042046,108.44099,75.230125,70.05442,70.05442,-27.987625,-27.987625,-22.81192,10.398941
8284,1.0,1.0,72,-23.6183395,-46.63305,741229,3,354.8290863057223,0,704167.5499999999,667106.1,630044.65,592983.2000000001,741229,763701.9,22472.875,0,0.008711619,False,0,0,0,0,187.51524,159.4447,116.79397,116.79397,101.19871,-86.316536,-70.721275,-70.721275,-28.070541
580,2.0,1.0,60,-23.5869704,-46.6386896,539451,3,80.0,1,512478.44999999995,485505.9,458533.35,431560.80000000005,539451,516576.66,-22874.34375,1,0.70703715,False,1,1,1,1,99.44053,102.219925,79.088394,66.96508,66.96508,-32.47545,-32.47545,-20.352135,2.779396
4341,2.0,1.0,70,-23.5640714,-46.6829393,586642,3,318.0,1,557309.9,527977.8,498645.7,469313.60000000003,586642,829173.44,242531.4375,0,0.117783464,True,0,0,0,0,93.09007,93.09007,74.02134,58.46067,52.314945,-40.775127,-34.629402,-19.068733,0.0
7398,3.0,2.0,157,-23.5341632,-46.6709859,1201340,2,1.0,1,1141273.0,1081206.0,1021139.0,961072.0,1201340,1286005.0,84665.0,1,0.9584608,False,1,1,1,1,65.23989,65.23989,48.729942,76.433365,49.521946,-15.717945,11.193474,-16.509949,0.0
2770,2.0,1.0,68,-23.57575,-46.63583,626223,2,50.0,1,594911.85,563600.7000000001,532289.5499999999,500978.4,626223,571915.75,-54307.25,1,0.6871312,False,1,1,1,1,111.65153,96.05625,96.05625,83.84565,78.595375,-33.056152,-27.805878,-15.595276,-15.595276
3488,4.0,6.0,335,-23.6209483,-46.69606270000001,4379100,3,341.4785979490547,0,4160145.0,3941190.0,3722235.0,3503280.0,4379100,3989551.0,-389549.0,0,0.010232122,False,0,0,0,0,183.65134,183.65134,183.65134,199.882,162.89972,-20.751617,16.230667,0.0,0.0
539,3.0,3.0,230,-23.6225782,-46.6815944,2072740,2,35.34337770374137,0,1969103.0,1865466.0,1761829.0,1658192.0,2072740,2173854.5,101114.5,1,0.5741195,True,1,1,1,1,101.029076,101.040924,92.930725,86.53324,82.3863,-18.642776,-14.495834,-8.098351,0.01184845
255,2.0,1.0,62,-23.5364538,-46.6775222,795465,3,190.9868031331669,0,755691.75,715918.5,676145.25,636372.0,795465,668681.25,-126783.75,0,0.17762226,False,0,0,0,0,133.40157,132.51414,132.51414,101.93084,108.44916,-24.952408,-31.470726,-0.88742065,-0.88742065
6411,3.0,2.0,104,-23.6194625,-46.73158660000001,916310,1,51.321238087631656,0,870494.5,824679.0,778863.5,733048.0,916310,542718.4,-373591.625,1,0.65212816,True,1,1,1,1,118.94368,90.91785,82.20041,82.20041,77.024704,-41.918976,-36.74327,-36.74327,-28.025833
334,4.0,3.0,200,-23.576307,-46.6477434,2135240,2,318.21404763152424,0,2028478.0,1921716.0,1814954.0,1708192.0,2135240,2459951.0,324711.0,0,0.09095876,False,0,0,0,0,131.96494,137.3703,101.685234,101.685234,90.14562,-41.819313,-30.279701,-30.279701,5.405365
3826,4.0,3.0,243,-23.569589,-46.6525158,3293650,3,29.210868376031197,0,3128967.5,2964285.0,2799602.5,2634920.0,3293650,2625162.0,-668488.0,0,0.15474637,False,0,0,0,0,151.69113,137.87701,150.50635,150.50635,171.31934,19.628204,-1.1847839,-1.1847839,-13.814117
3873,2.0,1.0,179,-23.5531301,-46.6900391,1887030,3,39.08618165448228,0,1792678.5,1698327.0,1603975.5,1509624.0,1887030,1566092.6,-320937.375,0,0.44698486,False,0,1,1,1,130.4859,132.01608,129.88164,106.82103,106.82103,-23.664871,-23.664871,-0.6042633,1.5301819
3698,4.0,4.0,168,-23.6209483,-46.69606270000001,2196080,2,106.09227554995873,0,2086276.0,1976472.0,1866668.0,1756864.0,2196080,2164726.5,-31353.5,0,0.18226165,False,0,0,0,0,120.995735,102.13191,102.34629,102.34629,95.94881,-25.046928,-18.649445,-18.649445,-18.863823
2869,2.0,1.0,80,-23.5596844,-46.6741964,998047,1,161.0,1,948144.6499999999,898242.3,848339.95,798437.6000000001,998047,845475.8,-152571.1875,0,0.33371475,True,0,0,0,0,126.03144,126.03144,123.81492,105.35572,98.85274,-27.178703,-20.67572,-2.2165222,0.0
6709,3.0,2.0,230,-23.5267865,-46.7311907,2220550,2,128.37205612298357,0,2109522.5,1998495.0,1887467.5,1776440.0,2220550,1925374.5,-295175.5,0,0.26961666,False,0,0,0,0,136.10948,136.10948,131.9764,153.07927,126.7983,-9.31118,16.969788,-4.133087,0.0
3264,2.0,2.0,72,-23.5931952,-46.6427599,900333,2,26.0,1,855316.35,810299.7000000001,765283.0499999999,720266.4,900333,805700.56,-94632.4375,0,0.4708748,True,0,0,1,1,155.52698,155.52698,130.24222,126.77353,92.824,-62.70298,-28.753448,-25.28476,0.0
1642,2.0,2.0,134,-23.5767992,-46.6056694,1293740,2,45.0,1,1229053.0,1164366.0,1099679.0,1034992.0,1293740,879639.0,-414101.0,0,0.4603581,True,0,0,1,0,125.0166,112.39961,110.5613,125.02934,92.25413,-32.762474,0.012741089,-14.455299,-12.616989
4878,3.0,2.0,103,-23.5615909,-46.6820815,1273810,3,169.0,1,1210119.5,1146429.0,1082738.5,1019048.0,1273810,1219508.5,-54301.5,0,0.26339543,True,0,0,0,0,109.355774,109.355774,109.355774,87.8815,102.505806,-6.849968,-21.474274,0.0,0.0
5288,3.0,2.0,121,-23.594536,-46.684926,1317390,3,169.0,1,1251520.5,1185651.0,1119781.5,1053912.0,1317390,1664716.9,347326.875,0,0.36502305,True,0,0,0,1,119.563705,103.84158,103.84158,85.10711,87.22231,-32.341393,-34.456596,-15.722122,-15.722122
3534,4.0,3.0,263,-23.54965,-46.718573,3532170,1,70.52735475658244,0,3355561.5,3178953.0,3002344.5,2825736.0,3532170,2787851.5,-744318.5,0,0.24706757,False,0,0,0,0,141.73724,137.48459,137.48459,84.11005,126.4775,-15.259743,-57.627197,-4.252655,-4.252655
2266,3.0,1.0,98,-23.580760100000006,-46.6767749,1099230,2,133.97492435169886,0,1044268.5,989307.0,934345.5,879384.0,1099230,1076417.9,-22812.125,0,0.49554807,False,1,1,1,1,86.79234,127.03212,107.97408,107.97408,90.65572,3.8633804,21.18174,21.18174,40.239777
7509,2.0,3.0,162,-23.5728202,-46.690583200000006,4304870,1,247.63524566577985,0,4089626.5,3874383.0,3659139.5,3443896.0,4304870,2501225.8,-1803644.25,0,0.04825417,False,0,0,0,0,102.78039,102.78039,102.78039,101.83902,140.3841,37.603706,-0.9413681,0.0,0.0
1141,3.0,2.0,105,-23.609017,-46.6546217,1154510,1,44.0,1,1096784.5,1039059.0,981333.5,923608.0,1154510,1065221.2,-89288.75,1,0.5979658,False,1,1,1,1,109.320915,120.6733,105.24017,105.24017,103.02365,-6.297264,-4.080742,-4.080742,11.352386
4422,2.0,2.0,79,-23.6002913,-46.6697244,997905,1,188.77784538034732,0,948009.75,898114.5,848219.25,798324.0,997905,1064852.4,66947.375,0,0.24298471,False,0,0,0,0,124.52609,124.52609,122.30957,103.85037,100.75255,-23.773544,-20.67572,-2.2165222,0.0
1323,3.0,2.0,76,-23.6003789,-46.6205955,685909,3,51.0,1,651613.5499999999,617318.1,583022.65,548727.2000000001,685909,668574.75,-17334.25,1,0.69647825,False,1,1,1,1,103.44231,111.957,111.957,96.361725,85.09738,-18.344925,-7.0805817,8.514694,8.514694
6055,4.0,4.0,391,-23.615457,-46.6786001,3832590,3,340.30265112425684,0,3640960.5,3449331.0,3257701.5,3066072.0,3832590,4260847.5,428257.5,0,0.012137001,False,0,0,0,0,172.26746,157.64111,157.64111,157.64111,143.827,-28.44046,-14.626343,-14.626343,-14.626343
7932,3.0,2.0,187,-23.6125211,-46.67935870000001,1790010,2,191.0,1,1700509.5,1611009.0,1521508.5,1432008.0,1790010,1980002.1,189992.125,0,0.40400127,True,0,0,0,0,127.41911,127.41911,94.74998,94.74998,94.66516,-32.753952,-32.669136,-32.669136,0.0
5914,3.0,2.0,144,-23.5639137,-46.6817567,1459810,1,216.7281033421296,0,1386819.5,1313829.0,1240838.5,1167848.0,1459810,1814320.4,354510.375,0,0.46653152,False,0,0,0,1,86.627716,86.627716,74.01019,74.950966,73.112656,-13.51506,-11.67675,-12.617523,0.0
287,3.0,2.0,134,-23.5925198,-46.6253135,1162810,2,12.0,1,1104669.5,1046529.0,988388.5,930248.0,1162810,1169177.4,6367.375,1,0.63366336,False,1,1,1,1,99.859116,90.13892,92.25413,92.25413,114.17391,14.314796,-7.604988,-7.604988,-9.720192
7387,2.0,2.0,76,-23.6106193,-46.6877893,986028,1,197.0,1,936726.6,887425.2000000001,838123.7999999999,788822.4,986028,1092844.0,106816.0,0,0.26343057,True,0,0,0,0,143.55313,143.55313,141.33661,114.15997,114.15997,-29.393158,-29.393158,-2.2165222,0.0
2734,3.0,1.0,165,-23.5730649,-46.6424362,1488210,1,15.031297650792403,0,1413799.5,1339389.0,1264978.5,1190568.0,1488210,1479937.6,-8272.375,1,0.5855137,True,1,1,1,1,78.72956,67.13824,67.13824,83.966484,83.966484,5.236923,5.236923,-11.591324,-11.591324
2862,3.0,1.0,90,-23.611449800000006,-46.6802723,999313,1,44.0,1,949347.35,899381.7000000001,849416.0499999999,799450.4,999313,866706.06,-132606.9375,1,0.6290623,False,1,1,1,1,126.067154,126.067154,123.2953,123.42882,86.360756,-39.706398,-2.6383362,-2.7718506,0.0
5592,4.0,3.0,155,-23.618683,-46.7378831,1363580,2,99.80056740761586,0,1295401.0,1227222.0,1159043.0,1090864.0,1363580,1104775.0,-258805.0,1,0.5120037,True,0,0,0,1,108.43355,89.53041,97.35989,97.35989,103.45327,-4.980278,-11.073654,-11.073654,-18.903137
6814,2.0,1.0,57,-23.6152413,-46.6356126,460860,1,274.39137731401985,0,437817.0,414774.0,391731.0,368688.0,460860,558265.75,97405.75,0,0.1916221,False,0,0,0,0,73.98639,73.98639,56.709812,54.085445,62.748672,-11.237717,-19.900944,-17.276577,0.0
3092,3.0,2.0,140,-23.5379874,-46.6590028,1587900,2,226.09823566230224,0,1508505.0,1429110.0,1349715.0,1270320.0,1587900,1341582.4,-246317.625,0,0.27911025,False,0,0,0,0,124.88227,124.88227,124.88227,124.88227,101.17085,-23.711418,0.0,0.0,0.0
1999,1.0,1.0,44,-23.5713888,-46.65298660000001,596382,2,96.40041693654108,0,566562.9,536743.8,506924.7,477105.60000000003,596382,545314.56,-51067.4375,0,0.3498597,False,0,0,1,1,111.58899,111.58899,104.872986,90.331955,90.331955,-21.257034,-21.257034,-6.7160034,0.0
8042,4.0,2.0,114,-23.6097638,-46.6195302,1071250,3,216.0,1,1017687.5,964125.0,910562.5,857000.0,1071250,1078672.0,7422.0,0,0.49508637,True,0,1,1,1,103.11107,103.11107,103.11107,85.295006,80.32783,-22.783241,-17.816063,0.0,0.0
6636,3.0,2.0,87,-23.608091100000006,-46.6697821,1201780,3,193.60315228499283,0,1141691.0,1081602.0,1021513.0,961424.0,1201780,1061841.2,-139938.75,0,0.20903638,False,0,0,0,0,141.63396,141.63396,126.14288,126.14288,126.14288,-15.491074,-15.491074,-15.491074,0.0
2531,3.0,2.0,159,-23.5673785,-46.6544553,2455690,2,155.34264371771738,0,2332905.5,2210121.0,2087336.5,1964552.0,2455690,1906717.9,-548972.125,0,0.10678605,False,0,0,0,0,148.27158,132.76254,132.76254,148.35287,110.36265,-37.908928,0.08129883,-15.509033,-15.509033
3727,4.0,2.0,210,-23.5707735,-46.6571374,2519060,2,115.42109696826492,0,2393107.0,2267154.0,2141201.0,2015248.0,2519060,2416456.8,-102603.25,0,0.45938247,False,0,1,1,1,127.924194,112.415146,112.415146,112.415146,115.82426,-12.099937,-15.509048,-15.509048,-15.509048
3275,2.0,1.0,60,-23.597085600000003,-46.6748584,736361,1,104.0,1,699542.95,662724.9,625906.85,589088.8,736361,652327.44,-84033.5625,0,0.24412087,True,0,0,0,1,128.64746,120.6307,115.66545,104.58249,96.73773,-31.909729,-24.064972,-12.98201,-8.016762
2026,3.0,4.0,279,-23.5997953,-46.6715609,3029250,1,15.0,1,2877787.5,2726325.0,2574862.5,2423400.0,3029250,3784768.2,755518.25,1,0.6414907,False,1,1,1,1,97.668686,111.05067,111.05067,96.113556,91.950325,-5.718361,-1.55513,13.381981,13.381981
4014,3.0,1.0,92,-23.6284225,-46.6842041,1021520,2,207.7596858476592,0,970444.0,919368.0,868292.0,817216.0,1021520,744760.4,-276759.625,0,0.19721386,False,0,0,0,0,132.65173,113.5937,111.377174,121.2208,84.15274,-48.498993,-11.430931,-21.274559,-19.058037
6741,3.0,1.0,130,-23.5612434,-46.6729236,1298780,3,181.69777026710983,0,1233841.0,1168902.0,1103963.0,1039024.0,1298780,1392717.9,93937.875,0,0.41673997,False,0,1,1,1,144.6263,101.001434,101.001434,78.34038,63.062054,-81.56424,-66.28592,-43.624863,-43.624863
2663,3.0,2.0,83,-23.5779869,-46.6436593,1012700,1,62.068477944731576,0,962065.0,911430.0,860795.0,810160.0,1012700,946618.7,-66081.3125,0,0.46864694,False,1,1,1,1,116.02774,116.02774,109.9224,103.56964,84.70253,-31.32521,-12.458099,-6.105339,0.0
2749,3.0,1.0,110,-23.5963062,-46.6757069,1110900,2,62.0,1,1055355.0,999810.0,944265.0,888720.0,1110900,1200468.1,89568.125,1,0.5362728,False,1,1,1,1,89.2944,91.40961,91.40961,91.40961,60.635822,-28.65858,2.1152039,2.1152039,2.1152039
8128,4.0,2.0,170,-23.5856123,-46.6458219,1802020,3,32.708278722870986,0,1711919.0,1621818.0,1531717.0,1441616.0,1802020,1570107.1,-231912.875,1,0.62227,True,1,1,1,1,128.23386,126.099396,106.891525,106.891525,90.91144,-37.32242,-21.34233,-21.34233,-2.1344604
6225,4.0,3.0,173,-23.591148800000006,-46.719962,1824680,2,168.78597052105488,0,1733446.0,1642212.0,1550978.0,1459744.0,1824680,1946145.9,121465.875,0,0.29801685,False,0,0,0,0,116.379456,109.98197,95.7082,95.7082,91.31943,-25.060028,-20.671257,-20.671257,-6.397484
293,3.0,2.0,177,-23.55736,-46.6046844,1310900,3,6.0,1,1245355.0,1179810.0,1114265.0,1048720.0,1310900,1024550.56,-286349.4375,1,0.76915604,False,1,1,1,1,96.53561,92.15162,92.15162,121.43564,124.135414,27.599808,24.900032,-4.3839874,-4.3839874
1368,2.0,1.0,90,-23.5608169,-46.6761983,944848,1,25.923952267213245,0,897605.6,850363.2000000001,803120.7999999999,755878.4,944848,897916.4,-46931.625,1,0.59520054,True,1,1,1,1,120.44754,117.67569,111.32293,86.360756,80.391785,-40.055756,-34.086784,-9.124611,-2.7718506
1916,3.0,2.0,170,-23.5917528,-46.7183519,1554910,3,83.0,1,1477164.5,1399419.0,1321673.5,1243928.0,1554910,1652637.6,97727.625,1,0.5566648,False,1,1,1,0,124.55936,120.170586,120.170586,103.933495,86.16988,-38.389473,-20.625862,-4.388771,-4.388771
3339,3.0,2.0,95,-23.6113228,-46.6894447,854411,1,56.0,1,811690.45,768969.9,726249.35,683528.8,854411,1141871.1,287460.125,1,0.7456114,False,1,1,1,1,119.981964,86.31905,77.67467,77.67467,69.70134,-50.280624,-42.307297,-42.307297,-33.66291
1598,3.0,2.0,90,-23.6087123,-46.6388728,889580,3,163.0,1,845101.0,800622.0,756143.0,711664.0,889580,949898.5,60318.5,0,0.319642,True,0,0,0,0,130.20409,111.251236,104.98421,90.23818,125.83583,-4.3682556,-39.965904,-25.21988,-18.95285
6936,4.0,3.0,213,-23.623027,-46.738909,1255270,1,52.0,1,1192506.5,1129743.0,1066979.5,1004216.0,1255270,1534453.0,279183.0,0,0.30879125,True,0,0,0,0,87.88415,87.88415,93.97752,91.78877,91.78877,3.904625,3.904625,6.093376,0.0
3692,3.0,1.0,273,-23.5695218,-46.6497171,2328060,3,334.9825576900455,0,2211657.0,2095254.0,1978851.0,1862448.0,2328060,2747650.0,419590.0,0,0.037467387,False,0,0,0,0,81.682755,81.682755,81.682755,104.88746,104.41091,22.728157,23.204704,0.0,0.0
3160,3.0,2.0,78,-23.6469395,-46.6681446,712639,1,26.162293906026605,0,677007.0499999999,641375.1,605743.15,570111.2000000001,712639,720915.75,8276.75,1,0.65299547,True,1,1,1,1,91.78103,63.86712,100.76361,93.63918,93.63918,1.8581543,1.8581543,8.982582,-27.91391
3606,3.0,1.0,90,-23.5716676,-46.6623972,1147700,1,209.0,1,1090315.0,1032930.0,975545.0,918160.0,1147700,1013672.75,-134027.25,0,0.23439364,True,0,0,0,0,136.08295,99.93142,120.59188,120.59188,118.37536,-17.707588,-15.491066,-15.491066,-36.151527
7784,4.0,3.0,265,-23.619546,-46.6802062,2511260,2,173.52241306856376,0,2385697.0,2260134.0,2134571.0,2009008.0,2511260,2865461.0,354201.0,0,0.39243746,False,0,0,0,0,115.849846,98.62158,91.61098,91.61098,102.5267,-13.323143,-24.238869,-24.238869,-17.228264
7082,3.0,1.0,148,-23.5442908,-46.70898560000001,1961890,1,19.934046656827896,0,1863795.5,1765701.0,1667606.5,1569512.0,1961890,1251839.8,-710050.25,1,0.50966066,True,1,1,1,1,169.99213,169.99213,130.36345,122.424,122.424,-47.568123,-47.568123,-39.628677,0.0
5701,3.0,2.0,94,-23.641774,-46.7201059,1017580,1,192.21544944107987,0,966701.0,915822.0,864943.0,814064.0,1017580,924555.7,-93024.3125,0,0.27682662,False,0,0,1,1,125.278854,125.278854,123.06233,119.981964,86.31905,-38.9598,-5.2968903,-2.2165222,0.0
5293,4.0,1.0,500,-23.5465668,-46.6550122,4058670,1,4.182228785760556,0,3855736.5,3652803.0,3449869.5,3246936.0,4058670,2979541.2,-1079128.75,0,0.19937241,False,0,0,0,0,127.30629,127.30629,99.16916,99.16916,95.764725,-31.541565,-28.13713,-28.13713,0.0
1052,2.0,1.0,59,-23.6205684,-46.6772197,717749,1,3.0,1,681861.5499999999,645974.1,610086.65,574199.2000000001,717749,581279.0,-136470.0,1,0.8322824,False,1,1,1,1,128.64746,109.98799,104.58249,96.73773,96.73773,-31.909729,-31.909729,-24.064972,-18.65947
7475,2.0,2.0,150,-23.536231,-46.6849735,1536810,3,23.276316330170822,0,1459969.5,1383129.0,1306288.5,1229448.0,1536810,1319379.0,-217431.0,1,0.55433524,True,1,1,1,1,121.367584,121.367584,121.367584,97.06755,90.864105,-30.503479,-24.300034,0.0,0.0
795,1.0,1.0,31,-23.554092800000006,-46.6501995,435340,3,228.1689797587009,0,413573.0,391806.0,370039.0,348272.0,435340,423228.16,-12111.84375,0,0.41748965,False,0,0,0,0,112.344826,91.70869,75.79122,84.454445,74.79238,-37.552444,-27.89038,-36.553604,-20.636139
2296,1.0,1.0,40,-23.552438,-46.6504861,426813,3,2.0,1,405472.35,384131.7,362791.05,341450.4,426813,365587.94,-61225.0625,1,0.97156435,False,1,1,1,1,87.755974,88.77767,84.454445,84.454445,59.678326,-28.077648,-3.301529,-3.301529,1.021698
7214,3.0,1.0,104,-23.536331,-46.656146,984366,1,44.0,1,935147.7,885929.4,836711.1,787492.8,984366,940099.8,-44266.1875,1,0.76983297,False,1,1,1,1,96.309105,96.309105,85.343506,76.34496,76.34496,-19.964142,-19.964142,-10.965599,0.0
7609,3.0,3.0,215,-23.5933405,-46.6278618,1934010,3,124.1263146226858,0,1837309.5,1740609.0,1643908.5,1547208.0,1934010,2068988.6,134978.625,1,0.51090145,True,0,0,0,0,120.77289,112.66268,108.63873,88.84911,88.84911,-31.923775,-31.923775,-12.134155,-8.110207
